target,variable,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
rpe_translation_m,rpe_rotation_deg,549,-0.45952694531044913,4.93453443634808e-30,-0.49920038001167605,6.135448190775652e-36,0.49920038001167605
rpe_translation_m,submit_to_publish_latency_sec,549,0.3725425722619007,1.6195841640964657e-19,0.4373648655998783,4.6800001296757906e-27,0.4373648655998783
rpe_translation_m,pose_rotation_cov_trace_rad2,549,-0.08811763000205314,0.03902032918638022,0.24311843106156328,7.914936444606862e-09,0.24311843106156328
rpe_translation_m,latest_frame_active_reprojection_sum_px,549,0.005145139953105946,0.9042609470933947,0.24307729684060905,7.962356877183725e-09,0.24307729684060905
rpe_translation_m,latest_frame_active_reprojection_sample_count,549,0.27943275471093215,2.6353698157849532e-11,0.2395305244470183,1.3272738859987787e-08,0.2395305244470183
rpe_translation_m,tracked_feature_count,549,0.2726080230174151,8.232538447294659e-11,0.2355817601219381,2.3224366530326763e-08,0.2355817601219381
rpe_translation_m,new_feature_count,549,-0.2726080230174151,8.232538447294659e-11,-0.2355817601219381,2.3224366530326763e-08,0.2355817601219381
rpe_translation_m,pose_position_cov_trace_m2,549,0.06916282260882052,0.10549418004034113,0.20794122872859264,8.881062611360086e-07,0.20794122872859264
rpe_translation_m,reprojection_sample_count,549,0.22264400002448903,1.3558724957722417e-07,0.20149573381604133,1.9423152477602523e-06,0.20149573381604133
rpe_translation_m,long_track_count,549,0.2265770540535469,8.018174946585146e-08,0.1762114469515987,3.2974510554665514e-05,0.1762114469515987
rpe_translation_m,latest_frame_active_reprojection_mean_px,549,0.0022511228331540704,0.9580304262870265,0.14938802890699507,0.0004447116153500473,0.14938802890699507
rpe_translation_m,avg_reprojection_error_px,549,0.11490023815058839,0.007039007660610443,0.11165859867068437,0.008832397358013413,0.11165859867068437
rpe_translation_m,outlier_count,549,0.013923618690380852,0.7447928388554294,0.04938992505511486,0.24796331788691756,0.04938992505511486
rpe_translation_m,max_reprojection_error_px,549,-0.030392822803702365,0.47729019919123067,0.04610709222172667,0.28083968959639477,0.04610709222172667
rpe_translation_m,feature_count,549,0.015107076613018577,0.7239508861521226,0.004177786895321947,0.9221975231761497,0.004177786895321947
rpe_translation_m,avg_parallax_px,549,-0.08312275833972933,0.05158762266526936,0.0035151784713324413,0.9345069239428389,0.0035151784713324413
rpe_rotation_deg,rpe_translation_m,549,-0.45952694531044913,4.93453443634808e-30,-0.49920038001167605,6.135448190775652e-36,0.49920038001167605
rpe_rotation_deg,submit_to_publish_latency_sec,549,-0.4599795840235104,4.267159452521341e-30,-0.40988936873823806,1.1712536618106324e-23,0.40988936873823806
rpe_rotation_deg,pose_rotation_cov_trace_rad2,549,-0.10578749425060885,0.013138499069178512,-0.2875968622333335,6.470109071779927e-12,0.2875968622333335
rpe_rotation_deg,reprojection_sample_count,549,-0.5510981411536622,6.208334678106413e-45,-0.22642802714315197,8.180807561724239e-08,0.22642802714315197
rpe_rotation_deg,latest_frame_active_reprojection_sample_count,549,-0.47307332096090593,5.796390803875203e-32,-0.22561157504773666,9.129903594511883e-08,0.22561157504773666
rpe_rotation_deg,tracked_feature_count,549,-0.45662047071611134,1.2480376355546906e-29,-0.22212837646490716,1.4515086594392845e-07,0.22212837646490716
rpe_rotation_deg,new_feature_count,549,0.45662047071611134,1.2480376355546906e-29,0.22212837646490716,1.4515086594392845e-07,0.22212837646490716
rpe_rotation_deg,pose_position_cov_trace_m2,549,-0.06075986484847234,0.15510811514058234,-0.19621772348348873,3.618816316478106e-06,0.19621772348348873
rpe_rotation_deg,long_track_count,549,-0.3682449623852988,4.4936051749714145e-19,-0.19619076571700297,3.630181586832479e-06,0.19619076571700297
rpe_rotation_deg,feature_count,549,-0.34689072013631905,5.72775522643865e-17,-0.12994738530045477,0.0022825548165194285,0.12994738530045477
rpe_rotation_deg,latest_frame_active_reprojection_mean_px,549,-0.007948292262871215,0.8525914876551878,0.0759714411072554,0.0753083818155199,0.0759714411072554
rpe_rotation_deg,max_reprojection_error_px,549,0.01778397886778707,0.6775745954930444,0.07468027166483551,0.08041756902121512,0.07468027166483551
rpe_rotation_deg,avg_parallax_px,549,0.21893436269400476,2.205931569203734e-07,-0.06710890884331502,0.11627582035478838,0.06710890884331502
rpe_rotation_deg,avg_reprojection_error_px,549,0.0449766919221431,0.2928142234928337,0.04911128757963747,0.25064474152754096,0.04911128757963747
rpe_rotation_deg,outlier_count,549,0.16866193241458094,7.146544166752037e-05,0.018039176559748762,0.6732130813292119,0.018039176559748762
rpe_rotation_deg,latest_frame_active_reprojection_sum_px,549,-0.010155658503843127,0.8123321788266377,-0.01723244168379983,0.6870375057854368,0.01723244168379983
