3.84000 -0.02446 -0.38321 0.00402 0.69226 -0.72162 0.00494 0.00326
4.00000 -0.04142 -0.56178 0.00466 0.69808 -0.71602 0.00267 0.00045
4.16000 -0.04034 -0.72499 0.01553 0.69537 -0.71863 0.00589 0.00285
4.24000 -0.03586 -0.82884 0.01357 0.69294 -0.72097 0.00508 0.00454
4.40000 -0.03432 -1.02385 0.01701 0.69493 -0.71904 0.00506 0.00586
4.48000 -0.03591 -1.11694 0.01942 0.69258 -0.72128 0.00423 0.00770
4.64000 -0.05002 -1.35208 -0.00268 0.70453 -0.70965 0.00433 0.00231
4.80000 -0.04803 -1.55137 -0.01307 0.71065 -0.70350 0.00732 0.00262
4.88000 -0.03691 -1.66307 -0.02390 0.71206 -0.70204 0.00668 0.00847
4.96000 -0.02100 -1.77688 -0.04123 0.71997 -0.69343 0.00861 0.02679
5.04000 -0.00905 -1.87652 -0.03793 0.71757 -0.69528 0.00345 0.04085
5.12000 0.01067 -1.96538 -0.02573 0.70640 -0.70468 -0.00261 0.06647
5.20000 0.01793 -2.07806 -0.03999 0.71031 -0.69973 -0.01238 0.07538
5.28000 0.01132 -2.18932 -0.06993 0.72383 -0.68651 -0.03179 0.06135
5.44000 0.02527 -2.37603 -0.05365 0.71080 -0.69998 -0.04139 0.05544
5.52000 0.03836 -2.49855 -0.06075 0.71236 -0.69817 -0.04190 0.05784
5.60000 0.04676 -2.60881 -0.06537 0.71417 -0.69622 -0.04561 0.05616
5.68000 0.05032 -2.70057 -0.05163 0.70780 -0.70269 -0.04525 0.05654
5.76000 0.05518 -2.79753 -0.04867 0.70281 -0.70744 -0.04318 0.06103
5.92000 0.06823 -3.02382 -0.05197 0.70452 -0.70597 -0.03608 0.06296
6.00000 0.07915 -3.10403 -0.03592 0.69902 -0.71154 -0.04023 0.05880
6.16000 0.12119 -3.31816 -0.04409 0.69917 -0.71091 -0.04057 0.06426
6.40000 0.16299 -3.62011 -0.02843 0.69242 -0.71766 -0.03887 0.06340
6.48000 0.17816 -3.73847 -0.03645 0.69946 -0.71096 -0.03566 0.06339
7.28000 0.34865 -4.79094 -0.01243 0.69460 -0.71593 -0.04268 0.05625
7.76000 0.43836 -5.45876 -0.00322 0.69881 -0.71167 -0.04125 0.05912
8.24000 0.53302 -6.08202 0.00563 0.69166 -0.71847 -0.04015 0.06169
8.32000 0.54277 -6.17817 0.00305 0.69798 -0.71243 -0.04095 0.05995
8.88000 0.62823 -6.91827 0.01228 0.69261 -0.71910 -0.03201 0.04652
9.20000 0.68740 -7.33955 0.02176 0.69699 -0.71426 -0.02944 0.05625
9.36000 0.70947 -7.53863 0.03421 0.69195 -0.71936 -0.03698 0.04860
9.52000 0.73240 -7.77803 0.02799 0.69745 -0.71455 -0.03060 0.04522
9.68000 0.74815 -7.95795 0.03231 0.69702 -0.71597 -0.02603 0.02954
9.84000 0.76720 -8.17965 0.02443 0.69987 -0.71395 -0.01704 0.01325
10.08000 0.72640 -8.50246 0.03259 0.68938 -0.72373 0.01012 -0.02940
10.32000 0.69137 -8.80745 0.02356 0.69418 -0.71852 0.02922 -0.03147
10.64000 0.64422 -9.21840 0.02966 0.68967 -0.72284 0.03973 -0.01670
