4.56000 0.00058 -0.01778 -0.00137 0.70403 -0.70433 -0.06703 0.06134
4.64000 -0.00122 -0.02539 -0.00145 0.70001 -0.70369 -0.09405 0.07719
4.72000 -0.00155 -0.02783 -0.00793 0.69621 -0.70091 -0.13322 0.07919
4.80000 -0.00101 -0.01772 -0.01258 0.69213 -0.69746 -0.16315 0.08881
4.88000 -0.00154 0.00194 -0.01712 0.68803 -0.69312 -0.18942 0.10156
4.96000 -0.00071 0.03326 -0.01900 0.67833 -0.69353 -0.21245 0.11724
5.04000 -0.00963 0.06962 -0.01546 0.67301 -0.68895 -0.23354 0.13366
5.12000 -0.01057 0.11278 -0.01096 0.65883 -0.69187 -0.25164 0.15470
5.20000 -0.01159 0.16011 -0.01022 0.64474 -0.69310 -0.27197 0.17308
5.28000 -0.01033 0.21091 -0.00985 0.63132 -0.69302 -0.29127 0.19058
5.36000 -0.00961 0.26518 -0.00768 0.61899 -0.69106 -0.30796 0.21081
5.44000 -0.01709 0.32219 -0.01336 0.61219 -0.68655 -0.31959 0.22744
5.52000 -0.03399 0.38508 -0.01983 0.60635 -0.68368 -0.32914 0.23788
5.60000 -0.05841 0.44950 -0.02620 0.60387 -0.68059 -0.33490 0.24489
5.68000 -0.08827 0.51350 -0.03190 0.60230 -0.67954 -0.33731 0.24837
5.76000 -0.12678 0.56476 -0.04010 0.60466 -0.67685 -0.33690 0.25054
5.84000 -0.15364 0.63842 -0.04722 0.60383 -0.67788 -0.33624 0.25063
5.92000 -0.20475 0.71842 -0.05769 0.60288 -0.67885 -0.33548 0.25130
6.00000 -0.27725 0.81044 -0.07073 0.60533 -0.67719 -0.33071 0.25618
6.08000 -0.37439 0.90638 -0.07988 0.60466 -0.67910 -0.32029 0.26573
6.16000 -0.48159 0.99006 -0.09319 0.60986 -0.67357 -0.32903 0.25713
6.24000 -0.59798 1.07523 -0.10670 0.61392 -0.66949 -0.32967 0.25729
6.32000 -0.74387 1.17696 -0.12688 0.61906 -0.66448 -0.33081 0.25651
6.40000 -0.86739 1.29183 -0.12839 0.61911 -0.66365 -0.32921 0.26056
6.48000 -0.97863 1.40453 -0.13353 0.61597 -0.66609 -0.32727 0.26421
6.56000 -1.09980 1.51512 -0.14378 0.62003 -0.66337 -0.32836 0.26015
6.64000 -1.22496 1.64428 -0.14762 0.61745 -0.66562 -0.32282 0.26739
6.72000 -1.35956 1.78286 -0.15659 0.61671 -0.66585 -0.32504 0.26581
6.80000 -1.49085 1.89855 -0.17401 0.62202 -0.66137 -0.32362 0.26636
6.88000 -1.59610 1.84159 -0.14186 0.62493 -0.65885 -0.32041 0.26965
6.96000 -1.67730 1.94203 -0.14233 0.62702 -0.65652 -0.32396 0.26622
7.04000 -1.78797 2.05463 -0.14264 0.62368 -0.65950 -0.32002 0.27142
7.12000 -1.91526 2.15848 -0.15021 0.62635 -0.65708 -0.31960 0.27163
7.20000 -2.03535 2.27708 -0.14844 0.62488 -0.65859 -0.31841 0.27276
7.28000 -2.22818 2.14972 -0.13145 0.62252 -0.65992 -0.31209 0.28208
7.36000 -2.29114 2.26776 -0.13113 0.62393 -0.65937 -0.31435 0.27772
7.44000 -2.37011 2.37420 -0.12865 0.62667 -0.65695 -0.31457 0.27703
7.52000 -2.48597 2.50730 -0.13204 0.62670 -0.65725 -0.31600 0.27460
7.60000 -2.60607 2.62870 -0.12881 0.62583 -0.65765 -0.31784 0.27351
7.68000 -2.73259 2.74661 -0.13929 0.62431 -0.65862 -0.31737 0.27520
7.76000 -2.87505 2.85636 -0.15977 0.62462 -0.65910 -0.31746 0.27324
7.84000 -3.00898 2.98839 -0.15919 0.62351 -0.65978 -0.31215 0.28016
7.92000 -3.17159 3.11892 -0.15983 0.62177 -0.66096 -0.31594 0.27697
8.00000 -3.30207 3.22072 -0.17125 0.62393 -0.65903 -0.31702 0.27549
8.08000 -3.45485 3.34338 -0.17612 0.62290 -0.66017 -0.31720 0.27486
8.16000 -3.64003 3.47018 -0.17935 0.62725 -0.65792 -0.32245 0.26405
8.24000 -3.72484 3.48153 -0.19540 0.62627 -0.65906 -0.31538 0.27195
8.32000 -3.86416 3.56042 -0.20025 0.62552 -0.65706 -0.31589 0.27786
8.40000 -4.01825 3.61194 -0.18460 0.61754 -0.66418 -0.31929 0.27490
8.48000 -4.20994 3.55511 -0.16238 0.62271 -0.65965 -0.32487 0.26750
8.56000 -4.15149 3.20783 -0.11014 0.62564 -0.65910 -0.30568 0.28412
8.64000 -4.24748 3.13168 -0.06477 0.62270 -0.66736 -0.29756 0.27989
8.72000 -4.17985 2.90982 -0.03014 0.64053 -0.66225 -0.29288 0.25567
8.80000 -4.02673 2.60513 -0.01581 0.65069 -0.65974 -0.29196 0.23688
8.88000 -4.00954 2.48189 -0.00664 0.65714 -0.66593 -0.27680 0.21929
8.96000 -3.97221 2.34307 -0.01293 0.66682 -0.66898 -0.27066 0.18592
9.04000 -3.89743 2.20112 -0.02067 0.67675 -0.67022 -0.25575 0.16557
9.12000 -3.80995 2.07838 -0.02447 0.68220 -0.67320 -0.24008 0.15415
9.20000 -3.69632 1.96234 -0.02313 0.68027 -0.68191 -0.21966 0.15487
9.28000 -3.59629 1.87176 -0.02271 0.67375 -0.69180 -0.19990 0.16585
9.36000 -3.52459 1.78236 -0.02311 0.67135 -0.69447 -0.19143 0.17423
9.44000 -3.48225 1.70845 -0.01239 0.66981 -0.69597 -0.18781 0.17807
9.52000 -3.41435 1.61913 -0.01098 0.66658 -0.69798 -0.18731 0.18276
9.60000 -3.34228 1.53140 -0.00982 0.66129 -0.69988 -0.18239 0.19898
9.68000 -3.25670 1.45484 -0.01151 0.65992 -0.69491 -0.18418 0.21837
9.76000 -3.16641 1.38862 -0.00926 0.65352 -0.69301 -0.19443 0.23418
9.84000 -3.07253 1.31837 -0.01019 0.64377 -0.69263 -0.20726 0.25073
9.92000 -2.96251 1.23533 -0.01325 0.63441 -0.69143 -0.21076 0.27393
10.00000 -2.87313 1.15374 -0.01161 0.63755 -0.68355 -0.22423 0.27569
10.08000 -2.79925 1.07831 -0.00068 0.63927 -0.67902 -0.24231 0.26750
10.16000 -2.71894 0.99608 0.00264 0.63897 -0.67937 -0.24954 0.26058
10.24000 -2.62846 0.89674 0.00162 0.64400 -0.67608 -0.25476 0.25155
10.32000 -2.53936 0.81780 0.00223 0.64485 -0.67200 -0.25453 0.26037
10.40000 -2.45251 0.74769 0.00920 0.64009 -0.66995 -0.26241 0.26944
10.48000 -2.35146 0.66904 0.00274 0.62869 -0.67178 -0.25800 0.29478
10.56000 -2.24864 0.59219 -0.00250 0.62378 -0.66293 -0.27196 0.31218
10.64000 -2.15357 0.51775 0.00233 0.61755 -0.65481 -0.28520 0.32942
10.72000 -2.07924 0.45586 0.01078 0.60385 -0.65338 -0.29595 0.34768
10.80000 -2.01509 0.38030 0.00747 0.60050 -0.64267 -0.31351 0.35789
10.88000 -1.98105 0.29700 0.00872 0.61073 -0.62934 -0.34294 0.33666
10.96000 -1.96761 0.24736 0.00630 0.61387 -0.62924 -0.33374 0.34035
11.04000 -1.97234 0.22324 0.00840 0.61505 -0.62843 -0.33621 0.33727
11.12000 -1.98774 0.20606 0.00436 0.62182 -0.62501 -0.34031 0.32695
11.20000 -2.01796 0.20818 0.00163 0.62106 -0.62885 -0.33748 0.32395
11.28000 -2.06351 0.22909 -0.00708 0.61790 -0.63103 -0.33315 0.33018
11.36000 -2.11317 0.24827 -0.01050 0.61423 -0.63198 -0.33536 0.33296
11.44000 -2.18049 0.27698 -0.01603 0.61691 -0.62335 -0.34260 0.33688
11.52000 -2.24359 0.29510 -0.01053 0.61398 -0.61760 -0.36720 0.32673
11.60000 -2.29331 0.34111 -0.02242 0.59641 -0.61625 -0.35640 0.37082
11.68000 -2.35251 0.38079 -0.01839 0.57771 -0.61062 -0.38391 0.38210
11.76000 -2.41007 0.39458 -0.00833 0.57228 -0.60734 -0.40307 0.37573
11.84000 -2.44110 0.41375 -0.01486 0.57482 -0.60011 -0.40700 0.37921
11.92000 -2.45421 0.44209 -0.02214 0.57860 -0.58881 -0.41618 0.38121
12.00000 -2.44509 0.48002 -0.01332 0.56524 -0.60425 -0.40309 0.39103
12.08000 -2.44402 0.48814 -0.00885 0.58236 -0.60000 -0.39845 0.37696
12.16000 -2.43226 0.48198 -0.00677 0.60820 -0.59172 -0.41620 0.32670
12.24000 -2.39817 0.47010 -0.01800 0.63386 -0.59446 -0.39097 0.30327
12.32000 -2.34454 0.42680 -0.01834 0.67152 -0.58155 -0.35649 0.28944
12.40000 -2.33921 0.37683 -0.06017 0.69680 -0.57991 -0.32913 0.26428
12.48000 -2.31938 0.29104 -0.06083 0.70788 -0.58626 -0.32351 0.22483
12.56000 -2.29448 0.21544 -0.02668 0.69082 -0.62293 -0.31012 0.19635
12.64000 -2.28213 0.14128 0.01828 0.67697 -0.66410 -0.26797 0.16991
12.72000 -2.22322 0.06659 0.02650 0.67992 -0.67747 -0.23035 0.16029
12.80000 -2.15506 -0.01299 0.03909 0.67999 -0.68167 -0.20879 0.17129
12.88000 -2.10634 -0.11300 0.08486 0.68099 -0.68502 -0.19217 0.17342
12.96000 -2.04160 -0.15886 0.07232 0.67455 -0.69364 -0.18098 0.17633
13.04000 -1.98273 -0.24944 0.07184 0.67026 -0.69943 -0.17195 0.17881
13.12000 -1.91524 -0.34877 0.07248 0.67199 -0.69865 -0.17286 0.17446
13.20000 -1.85752 -0.43995 0.07039 0.67516 -0.69486 -0.16898 0.18102
13.28000 -1.81119 -0.52698 0.07509 0.67501 -0.69601 -0.17140 0.17479
13.36000 -1.75215 -0.63033 0.06857 0.67437 -0.69608 -0.17701 0.17134
13.44000 -1.69047 -0.74081 0.05869 0.68008 -0.68928 -0.17403 0.17914
13.52000 -1.64947 -0.83602 0.07149 0.67954 -0.69062 -0.17472 0.17532
13.60000 -1.61243 -0.93214 0.06475 0.67425 -0.69499 -0.17710 0.17609
13.68000 -1.56968 -1.04919 0.06435 0.67251 -0.69775 -0.17393 0.17502
