time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
8.880000000,1.100943993,nan,nan,nan,nan,nan,6825.165232097,0.006688746,90,108,57,148,11,0.000000000,3.258552031,116.760049234,467,599.474332543,5.550688264,108,0,10
8.960000000,1.072820216,nan,nan,nan,nan,nan,17690.616866380,0.004430872,88,53,40,203,1,0.000000000,1.319769415,8.591886022,438,153.206477482,2.890688254,53,0,10
9.120000000,0.987703715,nan,nan,nan,nan,nan,0.000006160,0.003246519,87,153,25,103,2,0.000000000,1.429340332,13.063226775,453,538.397625000,3.518938725,153,0,10
9.200000000,0.992033248,nan,nan,nan,nan,nan,11396.340948269,0.002237920,86,18,5,238,0,0.000000000,1.394494212,5.697806429,434,192.660306750,10.703350375,18,0,10
9.280000000,0.992903337,nan,nan,nan,nan,nan,1731.150522778,0.002468174,89,28,8,228,2,0.000000000,1.488878459,18.195151498,433,64.940244642,2.319294452,28,0,10
9.360000000,0.988340132,nan,nan,nan,nan,nan,3070.627606494,0.002662383,81,65,3,191,1,0.000000000,1.373109726,5.142596416,383,1160.166112975,17.848709430,65,0,10
9.440000000,1.002052227,nan,nan,nan,nan,nan,250149.297710138,0.002481784,75,13,2,243,2,0.000000000,1.083682381,10.045846213,348,114.121779763,8.778598443,13,0,10
9.520000000,1.004534080,nan,nan,nan,nan,nan,71402.358129602,0.002194830,63,128,10,128,6,0.000000000,1.361646754,9.375150031,276,1074.319224570,8.393118942,128,0,10
9.600000000,1.004187675,nan,nan,nan,nan,nan,1268.424113578,0.002105531,43,30,4,226,3,0.000000000,1.414014906,7.905499071,173,140.594432333,4.686481078,30,0,10
9.680000000,1.004779352,nan,nan,nan,nan,nan,8017.728004008,0.001995703,29,68,11,188,7,0.000000000,2.252062852,11.046349545,119,158.468095698,2.330413172,68,0,10
9.760000000,1.000137528,nan,nan,nan,nan,nan,20152.267523407,0.002052552,10,68,5,188,3,0.000000000,2.732951473,9.086082987,46,1299.963287746,19.117107173,68,0,10
9.840000000,1.023710841,nan,nan,nan,nan,nan,9450.091822817,0.001971044,6,13,4,243,4,0.000000000,4.224377128,29.111115295,35,646.360566854,49.720043604,13,0,10
9.920000000,1.025065826,nan,nan,nan,nan,nan,4790.262445226,0.001978699,3,47,2,209,2,0.000000000,2.977835022,8.650401232,19,970.874970950,20.656914276,47,0,10
10.000000000,1.005848897,nan,nan,nan,nan,nan,6236.386948788,0.002077928,2,20,0,236,0,0.000000000,1.767378696,3.134540076,7,320.714297192,16.035714860,20,0,10
10.080000000,1.011233400,nan,nan,nan,nan,nan,4342.323161468,0.001846433,0,38,4,218,6,0.000000000,10.898274747,36.495638192,19,1160.758515666,30.546276728,38,0,10
10.160000000,1.007320166,nan,nan,nan,nan,nan,5519.896001991,0.002184285,0,25,0,231,0,0.000000000,0.000000000,0.000000000,0,3656.679173425,146.267166937,25,0,10
