target,variable,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
rpe_translation_m,rpe_rotation_deg,1149,0.47448102899763056,1.4674895809208143e-65,0.5752491492902214,3.359235167449707e-102,0.5752491492902214
rpe_translation_m,avg_reprojection_error_px,1149,0.3402787108271463,1.53828203723004e-32,0.5045391017976151,3.139402128683103e-75,0.5045391017976151
rpe_translation_m,max_reprojection_error_px,1149,0.1727111274902854,3.807817454638424e-09,0.4682987426147553,1.0931956802850199e-63,0.4682987426147553
rpe_translation_m,latest_frame_active_reprojection_mean_px,1149,-0.014635157049030463,0.6201956583721,0.42323830988500427,3.801197087001045e-51,0.42323830988500427
rpe_translation_m,outlier_count,1149,0.28529027358732384,5.863938498194433e-23,0.4078284797290806,2.8290606543642493e-47,0.4078284797290806
rpe_translation_m,latest_frame_active_reprojection_sum_px,1149,-0.039162350707048744,0.18465878260483956,0.3571534813737771,6.743833542578564e-36,0.3571534813737771
rpe_translation_m,marginalization_flag,1149,-0.3753170695040622,9.554712332030843e-40,-0.34264734374284794,5.345610973695745e-33,0.34264734374284794
rpe_translation_m,new_feature_count,1149,0.2716479279317976,6.928132977947736e-21,0.33407631509066205,2.3458750843998965e-31,0.33407631509066205
rpe_translation_m,latest_frame_active_reprojection_sample_count,1149,-0.36560460466099237,1.172141924460729e-37,-0.32576257970995337,8.209509395403509e-30,0.32576257970995337
rpe_translation_m,tracked_feature_count,1149,-0.36325255829748143,3.6653679271742664e-37,-0.32492654601669885,1.1666685365762147e-29,0.32492654601669885
rpe_translation_m,submit_to_publish_latency_sec,1149,0.20617972264123413,1.6988521460946808e-12,0.24432058913456814,4.4526141963462854e-17,0.24432058913456814
rpe_translation_m,long_track_count,1149,-0.10931943728461994,0.00020506878842673474,-0.1649291048928591,1.8761461522810963e-08,0.1649291048928591
rpe_translation_m,pose_rotation_cov_trace_rad2,1149,0.10683321713002897,0.0002858906325424899,-0.12884216521720399,1.1820759762539684e-05,0.12884216521720399
rpe_translation_m,avg_parallax_px,1149,0.025599715588115364,0.38597015262290774,0.023735268063059797,0.421518503884339,0.023735268063059797
rpe_translation_m,reprojection_sample_count,1149,0.0663409730891896,0.024526273304838028,-0.019665076128108524,0.5054596676721897,0.019665076128108524
rpe_translation_m,pose_position_cov_trace_m2,1149,-0.023003056851271336,0.43598752014844583,-0.009644649932382269,0.7439889656143801,0.009644649932382269
rpe_translation_m,feature_count,1149,0.060777192715085124,0.039415697356588876,-0.00797151843753856,0.7872218290458433,0.00797151843753856
rpe_rotation_deg,rpe_translation_m,1149,0.4744810289976306,1.4674895809205847e-65,0.5752491492902214,3.359235167449707e-102,0.5752491492902214
rpe_rotation_deg,marginalization_flag,1149,-0.45501806750039614,8.565558812392385e-60,-0.4861749693577589,3.301567777440742e-69,0.4861749693577589
rpe_rotation_deg,max_reprojection_error_px,1149,0.12224627948878383,3.254982100772822e-05,0.46940996755377284,5.0701461967321724e-64,0.46940996755377284
rpe_rotation_deg,latest_frame_active_reprojection_mean_px,1149,0.06568529561942273,0.025980079496438935,0.4669774775006397,2.7154887318025056e-63,0.4669774775006397
rpe_rotation_deg,avg_reprojection_error_px,1149,0.1968777301198789,1.6702869936700705e-11,0.45447025788876827,1.2294704026245158e-59,0.45447025788876827
rpe_rotation_deg,outlier_count,1149,0.20547673399106148,2.0269805616083145e-12,0.4007408736590658,1.4636970756756896e-45,0.4007408736590658
rpe_rotation_deg,latest_frame_active_reprojection_sample_count,1149,-0.3010966269014469,1.6572997706191245e-25,-0.3770595142274831,3.961705375199597e-40,0.3770595142274831
rpe_rotation_deg,tracked_feature_count,1149,-0.2965054236658009,9.469331035917933e-25,-0.37351800205861496,2.3579481905299662e-39,0.37351800205861496
rpe_rotation_deg,latest_frame_active_reprojection_sum_px,1149,0.0339105612419806,0.2507448114875629,0.3603720774959724,1.4617874251034917e-36,0.3603720774959724
rpe_rotation_deg,new_feature_count,1149,0.21812580144072596,7.665481795614766e-14,0.3136331296169703,1.2083177233297177e-27,0.3136331296169703
rpe_rotation_deg,submit_to_publish_latency_sec,1149,0.24226629738955036,8.256793193148444e-17,0.2648065112375172,6.861580116101144e-20,0.2648065112375172
rpe_rotation_deg,long_track_count,1149,-0.0729246849676352,0.013416309568919375,-0.1259902228825663,1.8430105569479046e-05,0.1259902228825663
rpe_rotation_deg,pose_rotation_cov_trace_rad2,1149,0.1882676740603792,1.2564771418108993e-10,0.09367583122104618,0.0014785725317940895,0.09367583122104618
rpe_rotation_deg,reprojection_sample_count,1149,0.13419915626530293,5.003364678253446e-06,0.07903145705443003,0.007357844899479269,0.07903145705443003
rpe_rotation_deg,avg_parallax_px,1149,0.110055948228749,0.00018559705848565812,0.07682343982318138,0.009184935796661206,0.07682343982318138
rpe_rotation_deg,feature_count,1149,0.11605011119246454,8.054047484139911e-05,0.06260593079311806,0.03384453749423629,0.06260593079311806
rpe_rotation_deg,pose_position_cov_trace_m2,1149,0.03835594523578853,0.19387163845039304,-0.015693658251795854,0.5951276875263605,0.015693658251795854
