target,variable,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
rpe_translation_m,feature_count,770,0.24113268881194772,1.1968522882311105e-11,0.3774155802410169,1.7866944910614954e-27,0.3774155802410169
rpe_translation_m,rpe_rotation_deg,770,-0.3078117751452606,2.317769671411911e-18,-0.35478066028328387,2.955627046470174e-24,0.35478066028328387
rpe_translation_m,submit_to_publish_latency_sec,770,0.4194116095152326,3.7061856532908196e-34,0.3340063548196805,1.6000282721735169e-21,0.3340063548196805
rpe_translation_m,reprojection_sample_count,770,0.22001383948428138,6.786497671113744e-10,0.27955130405606615,2.7288095823501578e-15,0.27955130405606615
rpe_translation_m,avg_reprojection_error_px,770,-0.21865106357246888,8.68855448956726e-10,-0.25068053136138935,1.6916323102716845e-12,0.25068053136138935
rpe_translation_m,outlier_count,770,-0.12325059691398323,0.0006089745259054492,-0.1883793663417423,1.3939806316148268e-07,0.1883793663417423
rpe_translation_m,latest_frame_active_reprojection_sample_count,770,0.05730099012928481,0.11211451615744646,0.1852581518463999,2.2520107520805928e-07,0.1852581518463999
rpe_translation_m,latest_frame_active_reprojection_mean_px,770,-0.05291186930721764,0.14240675948224502,-0.1782219187460215,6.44694257799155e-07,0.1782219187460215
rpe_translation_m,long_track_count,770,0.08186930600076908,0.02309224148433134,0.16283149738037223,5.588392654317276e-06,0.16283149738037223
rpe_translation_m,latest_frame_active_reprojection_sum_px,770,-0.0379485412581116,0.2929384142305211,-0.15763103078176977,1.1103874299684422e-05,0.15763103078176977
rpe_translation_m,tracked_feature_count,770,0.035957831236375366,0.31901183816883033,0.13756013815655013,0.00012858390643977666,0.13756013815655013
rpe_translation_m,new_feature_count,770,-0.035957831236375366,0.31901183816883033,-0.13756013815655013,0.00012858390643977666,0.13756013815655013
rpe_translation_m,max_reprojection_error_px,770,-0.047612629003093834,0.18690213818913087,-0.0998180610381002,0.005566764224429487,0.0998180610381002
rpe_translation_m,avg_parallax_px,770,-0.039361326690377466,0.27532532571497503,-0.0914007310766732,0.011166011063666905,0.0914007310766732
rpe_translation_m,pose_position_cov_trace_m2,770,0.0447669490872332,0.21466618445148708,0.021008308657638478,0.5605167832480357,0.021008308657638478
rpe_translation_m,pose_rotation_cov_trace_rad2,770,-0.037219516261579474,0.3023161604622655,0.015225370911430452,0.6731527719241184,0.015225370911430452
rpe_rotation_deg,submit_to_publish_latency_sec,770,-0.36036002960156166,5.023801758738959e-25,-0.5011898020869195,3.280101445595303e-50,0.5011898020869195
rpe_rotation_deg,rpe_translation_m,770,-0.3078117751452606,2.317769671411911e-18,-0.35478066028328387,2.955627046470174e-24,0.35478066028328387
rpe_rotation_deg,reprojection_sample_count,770,-0.4037828497900506,1.4743811484006148e-31,-0.32036801494028216,7.739109915960194e-20,0.32036801494028216
rpe_rotation_deg,feature_count,770,-0.30348542289620134,7.203788497104149e-18,-0.27731114466226664,4.622532500573035e-15,0.27731114466226664
rpe_rotation_deg,pose_rotation_cov_trace_rad2,770,-0.07098407520784736,0.04895166644247786,-0.2289736623100915,1.2841122721741446e-10,0.2289736623100915
rpe_rotation_deg,avg_reprojection_error_px,770,0.16536594289943723,3.967842789610357e-06,0.20746886150841967,6.209469535528714e-09,0.20746886150841967
rpe_rotation_deg,latest_frame_active_reprojection_sample_count,770,-0.14214900511114045,7.55220656681797e-05,-0.15598192307048978,1.3742801981902669e-05,0.15598192307048978
rpe_rotation_deg,long_track_count,770,-0.18293374266600432,3.202050784968402e-07,-0.15519591990438597,1.5201293971586222e-05,0.15519591990438597
rpe_rotation_deg,latest_frame_active_reprojection_mean_px,770,0.05447640877217958,0.1309605663433025,0.147161040525003,4.144784727258695e-05,0.147161040525003
rpe_rotation_deg,pose_position_cov_trace_m2,770,-0.04192461013755065,0.2452429201488834,-0.14503520594811017,5.358767040970338e-05,0.14503520594811017
rpe_rotation_deg,tracked_feature_count,770,-0.13267553810999436,0.00022254225129261147,-0.12928759833259246,0.0003220778488951651,0.12928759833259246
rpe_rotation_deg,new_feature_count,770,0.13267553810999436,0.00022254225129261147,0.12928759833259246,0.0003220778488951651,0.12928759833259246
rpe_rotation_deg,latest_frame_active_reprojection_sum_px,770,0.04836078732630091,0.18006280220360057,0.11575414511260246,0.0012924504125611913,0.11575414511260246
rpe_rotation_deg,outlier_count,770,0.025681218148713453,0.47672209479530625,0.10683554120723086,0.0029950177963106147,0.10683554120723086
rpe_rotation_deg,avg_parallax_px,770,0.0558709316587159,0.12137046140724558,0.08660124661548331,0.01623007624994604,0.08660124661548331
rpe_rotation_deg,max_reprojection_error_px,770,0.05476331594844601,0.12894104222970965,0.03405195291469345,0.3453526559191624,0.03405195291469345
