target,variable,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
rpe_translation_m,feature_count,1274,0.19453386193216698,2.4925391902933527e-12,0.22382711576564346,6.266271120239652e-16,0.22382711576564346
rpe_translation_m,tracked_feature_count,1274,-0.02288444810912444,0.4144298969906045,-0.17873039697547216,1.318807603870359e-10,0.17873039697547216
rpe_translation_m,new_feature_count,1274,0.02288444810912446,0.4144298969906045,0.17873039697547216,1.318807603870359e-10,0.17873039697547216
rpe_translation_m,long_track_count,1274,-0.08687765318402377,0.0019107699351849814,-0.1678046339584149,1.6767865768115573e-09,0.1678046339584149
rpe_translation_m,latest_frame_active_reprojection_sample_count,1274,-0.008249954084680426,0.7686183039374165,-0.145449134240982,1.8462131587753664e-07,0.145449134240982
rpe_translation_m,max_reprojection_error_px,1274,0.051004316140864196,0.06877399495367253,0.11470102863793413,4.0682191412336205e-05,0.11470102863793413
rpe_translation_m,avg_parallax_px,1274,0.07061481380781431,0.011697604372263594,0.11091293362434089,7.27249757234383e-05,0.11091293362434089
rpe_translation_m,rpe_rotation_deg,1274,0.01766611899129482,0.5287015197392348,0.10987935932122564,8.494791736906126e-05,0.10987935932122564
rpe_translation_m,reprojection_sample_count,1274,0.02680643095099916,0.339052939242873,-0.08685167728015471,0.0019167943063337575,0.08685167728015471
rpe_translation_m,marginalization_flag,1274,-0.06342432649923611,0.02358208129119394,-0.07664524372479323,0.006199274979554358,0.07664524372479323
rpe_translation_m,avg_reprojection_error_px,1274,0.02150895605929723,0.4430474827953214,0.055001561443962455,0.04967674224961926,0.055001561443962455
rpe_translation_m,latest_frame_active_reprojection_mean_px,1274,-0.022790214545159008,0.4163549226948233,0.05026549044900455,0.07289210422651456,0.05026549044900455
rpe_translation_m,latest_frame_active_reprojection_sum_px,1274,-0.014469437782322597,0.6058686081613146,0.04161683333070977,0.13764440854466864,0.04161683333070977
rpe_translation_m,outlier_count,1274,-0.03896808793102324,0.16451188804186107,0.03202432560741088,0.25336276503980176,0.03202432560741088
rpe_rotation_deg,latest_frame_active_reprojection_sample_count,1274,-0.7353417191677984,3.628002579136598e-217,-0.7197068840753561,8.368788826817521e-204,0.7197068840753561
rpe_rotation_deg,tracked_feature_count,1274,-0.7330922238907511,3.4712369879809277e-215,-0.7025479104670311,3.7583305073226106e-190,0.7025479104670311
rpe_rotation_deg,new_feature_count,1274,0.7330922238907511,3.4712369879809277e-215,0.7025479104670311,3.7583305073226106e-190,0.7025479104670311
rpe_rotation_deg,long_track_count,1274,-0.6321035604335494,4.542856691375666e-143,-0.5928715070196049,8.957966259441045e-122,0.5928715070196049
rpe_rotation_deg,marginalization_flag,1274,-0.508759536342743,8.082284069772525e-85,-0.5622207972065428,4.5436613433524237e-107,0.5622207972065428
rpe_rotation_deg,reprojection_sample_count,1274,-0.47509172375913283,1.0318774844574375e-72,-0.5547318807100563,1.0495508966560239e-103,0.5547318807100563
rpe_rotation_deg,avg_reprojection_error_px,1274,0.09537018563980126,0.000653231800353195,0.4799387667327491,2.254066473747028e-74,0.4799387667327491
rpe_rotation_deg,avg_parallax_px,1274,0.4443272863087683,8.970040132026243e-63,0.4323740217300756,3.5299951763695336e-59,0.4323740217300756
rpe_rotation_deg,latest_frame_active_reprojection_mean_px,1274,0.12215149100783049,1.2307313961671584e-05,0.4121940960806343,1.9882949796228883e-53,0.4121940960806343
rpe_rotation_deg,outlier_count,1274,0.17192238107549862,6.555139450157351e-10,0.3938348020353789,1.580243113495178e-48,0.3938348020353789
rpe_rotation_deg,max_reprojection_error_px,1274,0.022961790488494387,0.4128538640723018,0.35698447848533343,1.3839749789976526e-39,0.35698447848533343
rpe_rotation_deg,latest_frame_active_reprojection_sum_px,1274,0.0180230470657618,0.5204059196670381,0.2543968571778219,2.8764329680130353e-20,0.2543968571778219
rpe_rotation_deg,feature_count,1274,-0.2445250602194115,8.44038289673141e-19,-0.24111281292735795,2.622443690314953e-18,0.24111281292735795
rpe_rotation_deg,rpe_translation_m,1274,0.01766611899129482,0.5287015197392348,0.10987935932122564,8.494791736906126e-05,0.10987935932122564
