target,variable,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
rpe_translation_m,avg_reprojection_error_px,1093,0.24057088978574953,7.44399517775591e-16,0.2393004272063467,1.0648615594124095e-15,0.2393004272063467
rpe_translation_m,rpe_rotation_deg,1093,0.11073448038128837,0.00024441723407113463,0.18314904970220247,1.0623754058229243e-09,0.18314904970220247
rpe_translation_m,long_track_count,1093,0.17487912876070216,5.888683503536978e-09,0.1809586984175726,1.6852471879879754e-09,0.1809586984175726
rpe_translation_m,latest_frame_active_reprojection_sum_px,1093,0.058777249508838614,0.052056719393803325,0.16493000686079126,4.1573286359575045e-08,0.16493000686079126
rpe_translation_m,feature_count,1093,0.14329242034181972,1.970063390142745e-06,0.14834962162671686,8.384857728069791e-07,0.14834962162671686
rpe_translation_m,latest_frame_active_reprojection_mean_px,1093,0.04881603718192201,0.1067444915872059,0.1481335208828263,8.701702220012879e-07,0.1481335208828263
rpe_translation_m,reprojection_sample_count,1093,0.15684806894945197,1.8697664764482806e-07,0.1470891755831597,1.0402291645088253e-06,0.1470891755831597
rpe_translation_m,submit_to_publish_latency_sec,1093,-0.02174926000435125,0.4725694252290589,0.11783766945499159,9.425166837986738e-05,0.11783766945499159
rpe_translation_m,avg_parallax_px,1093,0.09904827881854564,0.0010420907497513587,0.09188243775318337,0.0023607429916545565,0.09188243775318337
rpe_translation_m,marginalization_flag,1093,-0.0565466031643202,0.06164812365876647,-0.08783810811916501,0.0036576298480129783,0.08783810811916501
rpe_translation_m,pose_rotation_cov_trace_rad2,1093,0.05835309156750733,0.05377787894443183,0.08549698346221443,0.004676327568802685,0.08549698346221443
rpe_translation_m,outlier_count,1093,0.03223543419250237,0.2869761904095793,0.06624971349418249,0.028513197436754033,0.06624971349418249
rpe_translation_m,max_reprojection_error_px,1093,0.02237713639340483,0.4598787778490163,0.06294080749272589,0.03747604731334662,0.06294080749272589
rpe_translation_m,pose_position_cov_trace_m2,1093,-0.011200204866252927,0.711477236516701,0.043720050896348124,0.1486136342548478,0.043720050896348124
rpe_translation_m,new_feature_count,1093,-0.05822085758572866,0.05432406592819889,0.00544730464547038,0.8572419429660096,0.00544730464547038
rpe_translation_m,tracked_feature_count,1093,0.05872715032891833,0.052257586103920436,-0.005276903510685152,0.861661977172138,0.005276903510685152
rpe_translation_m,latest_frame_active_reprojection_sample_count,1093,0.06355655144972286,0.03564670825479294,0.004354284847499295,0.8856654972583196,0.004354284847499295
rpe_rotation_deg,avg_parallax_px,1093,0.7935989785449253,1.1630035754640889e-237,0.6068411467745276,6.227185423427898e-111,0.6068411467745276
rpe_rotation_deg,marginalization_flag,1093,-0.5761434493956965,1.1428469294695147e-97,-0.5905033676747327,1.0731111553186064e-103,0.5905033676747327
rpe_rotation_deg,latest_frame_active_reprojection_sample_count,1093,-0.35584238706743454,5.67947990722079e-34,-0.343579869897041,1.2146055094062762e-31,0.343579869897041
rpe_rotation_deg,new_feature_count,1093,0.34792866518355714,1.8615733683385916e-32,0.3349074873493027,4.684774966137369e-30,0.3349074873493027
rpe_rotation_deg,tracked_feature_count,1093,-0.3471440198901885,2.616988582336597e-32,-0.3346435045624024,5.226181621190227e-30,0.3346435045624024
rpe_rotation_deg,submit_to_publish_latency_sec,1093,0.16454380518641593,4.474647287387072e-08,0.32885883299350416,5.589637309886676e-29,0.32885883299350416
rpe_rotation_deg,feature_count,1093,0.1944207074876116,9.036400561863723e-11,0.30072792668651743,2.7800717726786854e-24,0.30072792668651743
rpe_rotation_deg,outlier_count,1093,0.14670127317172948,1.1111895522257572e-06,0.2895747575303463,1.474982039528767e-22,0.2895747575303463
rpe_rotation_deg,avg_reprojection_error_px,1093,0.24623301495588193,1.4718585136297468e-16,0.28836364991154234,2.246465415225145e-22,0.28836364991154234
rpe_rotation_deg,rpe_translation_m,1093,0.11073448038128841,0.00024441723407113463,0.18314904970220247,1.0623754058229243e-09,0.18314904970220247
rpe_rotation_deg,max_reprojection_error_px,1093,0.13628846073347933,6.133637554182609e-06,0.17660619979013076,4.145502094822349e-09,0.17660619979013076
rpe_rotation_deg,latest_frame_active_reprojection_mean_px,1093,0.1264132481537622,2.7731886167196063e-05,0.10257977477996512,0.0006827191951363265,0.10257977477996512
rpe_rotation_deg,pose_position_cov_trace_m2,1093,-0.009602931302410928,0.7511508541082196,-0.0689804156914955,0.022569876392053097,0.0689804156914955
rpe_rotation_deg,latest_frame_active_reprojection_sum_px,1093,0.09567912209564942,0.0015409834731326213,0.060255270988021026,0.04641465623965207,0.060255270988021026
rpe_rotation_deg,reprojection_sample_count,1093,-0.057638484576136594,0.05678482528780647,0.03761909253316599,0.21396930092946811,0.03761909253316599
rpe_rotation_deg,pose_rotation_cov_trace_rad2,1093,0.08225686575870494,0.006509310159817307,0.033020063854065494,0.2754006029630082,0.033020063854065494
rpe_rotation_deg,long_track_count,1093,-0.11412550332598805,0.00015614034837798735,0.024406436603313358,0.4201926738481043,0.024406436603313358
