target,variable,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
rpe_translation_m,reprojection_sample_count,543,0.23120068262554463,5.062380252072633e-08,0.2778769769670321,4.383476036611564e-11,0.2778769769670321
rpe_translation_m,feature_count,543,0.16089330673720353,0.00016647524166887653,0.27599138922837857,5.99138210197567e-11,0.27599138922837857
rpe_translation_m,long_track_count,543,0.19076038077392865,7.602199805009054e-06,0.18315873842224625,1.7502628094580445e-05,0.18315873842224625
rpe_translation_m,latest_frame_active_reprojection_mean_px,543,-0.060863291625843585,0.15668673237310138,-0.15257649001579388,0.00035956403098404453,0.15257649001579388
rpe_translation_m,latest_frame_active_reprojection_sample_count,543,0.1221953762157741,0.004350363946478091,0.14500362536410794,0.0007013060474779046,0.14500362536410794
rpe_translation_m,avg_parallax_px,543,0.03870996201936848,0.3679647489804447,0.13475744192404393,0.0016478743504101878,0.13475744192404393
rpe_translation_m,new_feature_count,543,-0.1158022898277638,0.006906036652914776,-0.13423347113546236,0.0017188490858271617,0.13423347113546236
rpe_translation_m,tracked_feature_count,543,0.11602771413645709,0.0067968759284084065,0.13414252542215482,0.0017314499946147644,0.13414252542215482
rpe_translation_m,latest_frame_active_reprojection_sum_px,543,-0.06543642277915558,0.12777327345431952,-0.13130466249413875,0.0021698569555577956,0.13130466249413875
rpe_translation_m,rpe_rotation_deg,543,-0.2794402188063616,3.3769311223694685e-11,-0.12809986484655228,0.0027853975608002394,0.12809986484655228
rpe_translation_m,outlier_count,543,-0.12637487886231238,0.0031789561428964734,-0.09723843269725627,0.023449207498920592,0.09723843269725627
rpe_translation_m,pose_rotation_cov_trace_rad2,543,-0.02110202948809775,0.6236750323977464,-0.08366490894001807,0.051353441297088465,0.08366490894001807
rpe_translation_m,avg_reprojection_error_px,543,-0.07144231795010178,0.09629966777091942,0.07833248587604498,0.06816284452590825,0.07833248587604498
rpe_translation_m,max_reprojection_error_px,543,-0.059912327686888325,0.16327715915149393,-0.07521215913329105,0.07993508568515395,0.07521215913329105
rpe_translation_m,submit_to_publish_latency_sec,543,0.09410806312613897,0.028325055027121317,0.02654020365358025,0.5371470650434147,0.02654020365358025
rpe_translation_m,pose_position_cov_trace_m2,543,0.035749669265597646,0.4057489889686637,0.018499952630335534,0.667096759744249,0.018499952630335534
rpe_rotation_deg,submit_to_publish_latency_sec,543,-0.40143773568986074,1.9219581629013886e-22,-0.4856446681545139,1.7618537659768416e-33,0.4856446681545139
rpe_rotation_deg,avg_reprojection_error_px,543,0.19065257803849828,7.694441086427524e-06,0.24336937125464855,9.213606187477893e-09,0.24336937125464855
rpe_rotation_deg,latest_frame_active_reprojection_mean_px,543,0.07013907528789695,0.10254247645415263,0.1961687985014397,4.115078819359653e-06,0.1961687985014397
rpe_rotation_deg,long_track_count,543,-0.11918776714921833,0.0054212636446949345,-0.1693043919773186,7.347060584000452e-05,0.1693043919773186
rpe_rotation_deg,latest_frame_active_reprojection_sum_px,543,0.08158392579765154,0.057448206643716075,0.16794824594329794,8.405345360762575e-05,0.16794824594329794
rpe_rotation_deg,reprojection_sample_count,543,-0.13277490369114353,0.0019314404734297348,-0.16751924752864203,8.768983087255677e-05,0.16751924752864203
rpe_rotation_deg,latest_frame_active_reprojection_sample_count,543,-0.10275303770483452,0.016610696315295742,-0.15762488315612744,0.00022633940840304913,0.15762488315612744
rpe_rotation_deg,tracked_feature_count,543,-0.09461859272673798,0.027474887522741104,-0.14812163914024534,0.0005346871606687664,0.14812163914024534
rpe_rotation_deg,new_feature_count,543,0.09476935423618307,0.027228066182226264,0.1481198538509656,0.0005347710250433965,0.1481198538509656
rpe_rotation_deg,rpe_translation_m,543,-0.27944021880636155,3.3769311223694685e-11,-0.12809986484655228,0.0027853975608002394,0.12809986484655228
rpe_rotation_deg,avg_parallax_px,543,0.14748263849154092,0.0005654975444011395,0.08893782223395302,0.03828481256045783,0.08893782223395302
rpe_rotation_deg,outlier_count,543,0.1087579153754664,0.011212602194927623,0.07517746900584435,0.080074683275512,0.07517746900584435
rpe_rotation_deg,feature_count,543,0.019394666279834265,0.6520310378239563,0.042615771519375074,0.3215830671657712,0.042615771519375074
rpe_rotation_deg,max_reprojection_error_px,543,0.0910868751825024,0.033832629609359614,0.03215838077295301,0.45456106273381214,0.03215838077295301
rpe_rotation_deg,pose_position_cov_trace_m2,543,0.029107590667633253,0.4984973690665032,-0.022836750345079013,0.5954235499932041,0.022836750345079013
rpe_rotation_deg,pose_rotation_cov_trace_rad2,543,-0.06748322226288711,0.11625573655688616,-0.004505932983530978,0.9165682824712865,0.004505932983530978
