8.40000 -0.03353 -0.25237 -0.01158 0.69390 -0.71881 0.02953 -0.03073
8.48000 -0.03900 -0.29687 -0.00646 0.69431 -0.71880 0.02779 -0.02192
8.56000 -0.06273 -0.37339 -0.00234 0.69763 -0.71611 0.01961 -0.01046
8.64000 -0.06714 -0.43581 -0.00490 0.70227 -0.71182 0.01080 -0.00317
8.72000 -0.06377 -0.49355 -0.00240 0.70386 -0.71029 0.00277 0.00782
8.80000 -0.06180 -0.54830 0.00514 0.69968 -0.71428 -0.00463 0.01493
8.88000 -0.05345 -0.60501 0.00886 0.69499 -0.71855 -0.01066 0.02358
8.96000 -0.03677 -0.66467 0.01019 0.69151 -0.72134 -0.01678 0.03452
9.04000 -0.02258 -0.72077 0.01385 0.69170 -0.72048 -0.02325 0.04376
9.12000 -0.01581 -0.75683 0.01813 0.69177 -0.72008 -0.03075 0.04465
9.20000 -0.00948 -0.79456 0.02465 0.68786 -0.72351 -0.03619 0.04557
9.28000 0.00194 -0.85191 0.02799 0.68628 -0.72460 -0.03901 0.04958
9.36000 0.00717 -0.91946 0.02108 0.69401 -0.71725 -0.03810 0.04949
9.44000 0.00638 -0.96881 0.01384 0.69816 -0.71386 -0.03423 0.04251
9.52000 0.00325 -1.00433 0.01195 0.69746 -0.71540 -0.02982 0.02948
9.60000 0.00450 -1.04622 0.01040 0.69391 -0.71945 -0.02177 0.02002
9.68000 0.00932 -1.09990 0.00754 0.69491 -0.71877 -0.01473 0.01576
9.76000 0.00951 -1.14241 0.01369 0.69478 -0.71909 -0.00503 0.01282
9.84000 0.01126 -1.18119 0.02631 0.68949 -0.72416 -0.00519 0.01295
9.92000 0.01514 -1.22063 0.03852 0.68227 -0.73073 -0.00182 0.02311
10.00000 0.01391 -1.26792 0.05240 0.67538 -0.73685 -0.00862 0.02898
10.08000 0.01490 -1.32289 0.06281 0.67592 -0.73592 -0.02127 0.03319
10.16000 0.02089 -1.36045 0.07592 0.67236 -0.73855 -0.02858 0.04068
10.24000 0.02549 -1.39145 0.09787 0.66122 -0.74815 -0.03645 0.04169
10.32000 0.03180 -1.41881 0.12804 0.64538 -0.76166 -0.03319 0.04747
10.40000 0.03452 -1.46635 0.15456 0.63330 -0.77181 -0.03782 0.04258
10.48000 0.03534 -1.50236 0.18106 0.62154 -0.78139 -0.04015 0.03878
10.56000 0.03751 -1.53632 0.21162 0.60348 -0.79543 -0.03684 0.04180
10.64000 0.04421 -1.57319 0.24843 0.58123 -0.81164 -0.02858 0.05085
